s,x,y,yaw,curvature,csv_speed,curve_speed,reference_speed
50.500000000,50.441794903,-2.593096812,-0.000007634,0.008497717,4.547456930,14.511268632,4.455331462
50.750000000,50.691794583,-2.592737371,0.002238134,0.009059985,4.452169102,14.099909513,4.452169102
51.000000000,50.941793383,-2.591977746,0.004018136,0.010085999,4.469659797,13.431594764,4.469659797
51.250000000,51.191790065,-2.590728310,0.006706325,0.010504396,4.480144456,13.185089455,4.480144456
51.500000000,51.441780848,-2.588624617,0.010160626,0.010609726,4.461115493,13.125142096,4.461115493
51.750000000,51.691762893,-2.585648098,0.013209726,0.011013446,4.482283363,12.902717577,4.482283363
52.000000000,51.941736477,-2.582019956,0.015281752,0.011277533,4.501907595,12.763196319,4.501907595
52.250000000,52.191704255,-2.578007524,0.017498822,0.011075478,4.514085129,12.869534143,4.514085129
52.500000000,52.441659259,-2.573271003,0.020759242,0.010574754,4.530257165,13.144955069,4.530257165
52.750000000,52.691595312,-2.567628673,0.024301530,0.010040339,4.551782453,13.459340790,4.551782453
53.000000000,52.941510534,-2.561121461,0.026757511,0.008998546,4.551824264,14.143163975,4.551824264
53.250000000,53.191416113,-2.554251520,0.028170851,0.007257980,4.557373767,15.562453663,4.557373767
53.500000000,53.441311878,-2.547037906,0.029710564,0.006119510,4.565068574,16.760614712,4.565068574
53.750000000,53.691195094,-2.539398434,0.031043854,0.006683608,4.578826700,16.133641456,4.578826700
54.000000000,53.941070858,-2.531518475,0.032161867,0.007931112,4.591523151,14.964500365,4.591523151
54.250000000,54.190936354,-2.523320278,0.034195957,0.008815928,4.601732505,14.274119230,4.601732505
54.500000000,54.440777834,-2.514423853,0.037441427,0.009613179,4.601153217,13.727525047,4.601153217
54.750000000,54.690584747,-2.504603982,0.040267759,0.010151867,4.571703599,13.391869157,4.571703599
55.000000000,54.940372081,-2.494295432,0.042526477,0.010170779,4.603839330,13.380528674,4.603839330
55.250000000,55.190132208,-2.483347173,0.044712188,0.010271454,4.615201324,13.320638148,4.615201324
55.500000000,55.439872000,-2.471946803,0.047025299,0.010708986,4.625518769,13.069390895,4.625518769
55.750000000,55.689578661,-2.459843226,0.050039025,0.011053800,4.635829909,12.881101414,4.635829909
56.000000000,55.939244940,-2.446937791,0.053348795,0.011161801,4.651141425,12.823779698,4.651141425
56.250000000,56.188866025,-2.433181548,0.056217890,0.011302013,4.633650518,12.750490867,4.633650518
56.500000000,56.438454366,-2.418843687,0.058655263,0.011980545,4.612552789,12.412765210,4.612552789
56.750000000,56.688005458,-2.403870772,0.060986709,0.012990296,4.652537906,11.956430397,4.652537906
57.000000000,56.937524293,-2.388369264,0.064332646,0.013564566,4.660765302,11.718343338,4.660765302
57.250000000,57.186968939,-2.371726774,0.069006519,0.013942827,4.670872625,11.569074554,4.670872625
57.500000000,57.436331710,-2.353893559,0.073035869,0.014457112,4.647975386,11.374984708,4.647975386
57.750000000,57.685634794,-2.335241383,0.075748666,0.014365654,4.723765094,11.408787173,4.723765094
58.000000000,57.934897468,-2.316055471,0.078750351,0.013956474,4.664804359,11.563794906,4.664804359
58.250000000,58.184084108,-2.295906978,0.082711745,0.014465598,4.677670226,11.371863625,4.677670226
58.500000000,58.433186883,-2.274746840,0.086541534,0.015676006,4.686234811,10.951383165,4.686234811
58.750000000,58.682211750,-2.252690305,0.090392056,0.016650805,4.698189738,10.644683148,4.698189738
59.000000000,58.931144010,-2.229612478,0.094556479,0.017364815,4.713893903,10.435703136,4.713893903
59.250000000,59.179976204,-2.205482673,0.099132545,0.017974854,4.705281485,10.266579427,4.705281485
59.500000000,59.428686627,-2.180127605,0.103956538,0.018111729,4.705792751,10.229749813,4.705792751
59.750000000,59.677274335,-2.153598242,0.108708744,0.017771095,4.708000716,10.322150536,4.708000716
